,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
30901,Europe,Montenegro,Meat,Offline,M,07-04-2015,175146806,25-05-2015,8687,421.89,364.69,3664958.43,3168062.03,496896.4
3276,Europe,Netherlands,Personal Care,Offline,C,07-04-2015,703016698,28-04-2015,7118,81.73,56.67,581754.14,403377.06,178377.08
13874,Europe,Netherlands,Beverages,Offline,C,07-04-2015,218834197,15-04-2015,6757,47.45,31.79,320619.65,214805.03,105814.62
15625,Europe,Netherlands,Personal Care,Offline,C,07-04-2015,703016698,28-04-2015,7118,81.73,56.67,581754.14,403377.06,178377.08
24963,Europe,Netherlands,Beverages,Offline,C,07-04-2015,218834197,15-04-2015,6757,47.45,31.79,320619.65,214805.03,105814.62
30133,Europe,Netherlands,Personal Care,Offline,C,07-04-2015,703016698,28-04-2015,7118,81.73,56.67,581754.14,403377.06,178377.08
308,Europe,Norway,Meat,Offline,C,07-04-2015,790391480,20-05-2015,3258,421.89,364.69,1374517.62,1188160.02,186357.6
2482,Europe,Norway,Cereal,Offline,M,07-04-2015,746704089,09-05-2015,5188,205.7,117.11,1067171.6,607566.68,459604.92
9007,Europe,Norway,Beverages,Online,M,07-04-2015,834078872,09-04-2015,1328,47.45,31.79,63013.6,42217.12,20796.48
21695,Europe,Norway,Beverages,Online,M,07-04-2015,834078872,09-04-2015,1328,47.45,31.79,63013.6,42217.12,20796.48
27165,Europe,Norway,Meat,Offline,C,07-04-2015,790391480,20-05-2015,3258,421.89,364.69,1374517.62,1188160.02,186357.6
29339,Europe,Norway,Cereal,Offline,M,07-04-2015,746704089,09-05-2015,5188,205.7,117.11,1067171.6,607566.68,459604.92
34407,Europe,Norway,Beverages,Online,M,07-04-2015,834078872,09-04-2015,1328,47.45,31.79,63013.6,42217.12,20796.48
128,Europe,Poland,Meat,Offline,L,07-04-2015,505636155,15-05-2015,7830,421.89,364.69,3303398.7,2855522.7,447876.0
884,Europe,Poland,Baby Food,Online,H,07-04-2015,549323546,25-05-2015,5899,255.28,159.42,1505896.72,940418.58,565478.14
26541,Europe,Poland,Household,Offline,L,07-04-2015,418261373,23-04-2015,1690,668.27,502.54,1129376.3,849292.6,280083.7
26754,Europe,Poland,Cereal,Offline,H,07-04-2015,461948764,04-05-2015,9760,205.7,117.11,2007632.0,1142993.6,864638.4
26985,Europe,Poland,Meat,Offline,L,07-04-2015,505636155,15-05-2015,7830,421.89,364.69,3303398.7,2855522.7,447876.0
27741,Europe,Poland,Baby Food,Online,H,07-04-2015,549323546,25-05-2015,5899,255.28,159.42,1505896.72,940418.58,565478.14
3759,Europe,Portugal,Cereal,Offline,C,07-04-2015,177193439,29-04-2015,4331,205.7,117.11,890886.7,507203.41,383683.29
11338,Europe,Portugal,Household,Offline,M,07-04-2015,133506047,18-04-2015,6261,668.27,502.54,4184038.47,3146402.94,1037635.53
12550,Europe,Portugal,Baby Food,Online,C,07-04-2015,264568221,20-05-2015,471,255.28,159.42,120236.88,75086.82,45150.06
13089,Europe,Portugal,Personal Care,Online,M,07-04-2015,220880830,09-05-2015,2401,81.73,56.67,196233.73,136064.67,60169.06
16108,Europe,Portugal,Cereal,Offline,C,07-04-2015,177193439,29-04-2015,4331,205.7,117.11,890886.7,507203.41,383683.29
23639,Europe,Portugal,Baby Food,Online,C,07-04-2015,264568221,20-05-2015,471,255.28,159.42,120236.88,75086.82,45150.06
24178,Europe,Portugal,Personal Care,Online,M,07-04-2015,220880830,09-05-2015,2401,81.73,56.67,196233.73,136064.67,60169.06
30616,Europe,Portugal,Cereal,Offline,C,07-04-2015,177193439,29-04-2015,4331,205.7,117.11,890886.7,507203.41,383683.29
36738,Europe,Portugal,Household,Offline,M,07-04-2015,133506047,18-04-2015,6261,668.27,502.54,4184038.47,3146402.94,1037635.53
37950,Europe,Portugal,Baby Food,Online,C,07-04-2015,264568221,20-05-2015,471,255.28,159.42,120236.88,75086.82,45150.06
14634,Europe,Romania,Household,Offline,H,07-04-2015,748750722,13-04-2015,832,668.27,502.54,556000.64,418113.28,137887.36
25723,Europe,Romania,Household,Offline,H,07-04-2015,748750722,13-04-2015,832,668.27,502.54,556000.64,418113.28,137887.36
43,Europe,Russia,Personal Care,Online,H,07-04-2015,836125504,04-05-2015,6972,81.73,56.67,569821.56,395103.24,174718.32
5221,Europe,Russia,Baby Food,Online,L,07-04-2015,879812896,15-05-2015,5042,255.28,159.42,1287121.76,803795.64,483326.12
6035,Europe,Russia,Cosmetics,Offline,L,07-04-2015,792438113,24-04-2015,8902,437.2,263.33,3891954.4,2344163.66,1547790.74
17570,Europe,Russia,Baby Food,Online,L,07-04-2015,879812896,15-05-2015,5042,255.28,159.42,1287121.76,803795.64,483326.12
18384,Europe,Russia,Cosmetics,Offline,L,07-04-2015,792438113,24-04-2015,8902,437.2,263.33,3891954.4,2344163.66,1547790.74
26900,Europe,Russia,Personal Care,Online,H,07-04-2015,836125504,04-05-2015,6972,81.73,56.67,569821.56,395103.24,174718.32
31096,Europe,Russia,Cosmetics,Offline,L,07-04-2015,792438113,24-04-2015,8902,437.2,263.33,3891954.4,2344163.66,1547790.74
132,Europe,San Marino,Personal Care,Online,C,07-04-2015,551370179,29-04-2015,1544,81.73,56.67,126191.12,87498.48,38692.64
1589,Europe,San Marino,Clothes,Offline,C,07-04-2015,463995397,08-04-2015,5404,109.28,35.84,590549.12,193679.36,396869.76
2109,Europe,San Marino,Cereal,Online,M,07-04-2015,595057570,10-05-2015,9613,205.7,117.11,1977394.1,1125778.43,851615.67
14554,Europe,San Marino,Cosmetics,Online,M,07-04-2015,507682788,18-04-2015,3474,437.2,263.33,1518832.8,914808.42,604024.38
25643,Europe,San Marino,Cosmetics,Online,M,07-04-2015,507682788,18-04-2015,3474,437.2,263.33,1518832.8,914808.42,604024.38
26989,Europe,San Marino,Personal Care,Online,C,07-04-2015,551370179,29-04-2015,1544,81.73,56.67,126191.12,87498.48,38692.64
28446,Europe,San Marino,Clothes,Offline,C,07-04-2015,463995397,08-04-2015,5404,109.28,35.84,590549.12,193679.36,396869.76
28966,Europe,San Marino,Cereal,Online,M,07-04-2015,595057570,10-05-2015,9613,205.7,117.11,1977394.1,1125778.43,851615.67
5599,Europe,Serbia,Household,Online,M,07-04-2015,266614854,24-04-2015,6115,668.27,502.54,4086471.05,3073032.1,1013438.95
5866,Europe,Serbia,Cosmetics,Online,C,07-04-2015,222927463,13-04-2015,8045,437.2,263.33,3517274.0,2118489.85,1398784.15
11121,Europe,Serbia,Cereal,Online,C,07-04-2015,310302245,05-05-2015,4185,205.7,117.11,860854.5,490105.35,370749.15
11477,Europe,Serbia,Clothes,Offline,M,07-04-2015,179240071,23-05-2015,9975,109.28,35.84,1090068.0,357504.0,732564.0
17948,Europe,Serbia,Household,Online,M,07-04-2015,266614854,24-04-2015,6115,668.27,502.54,4086471.05,3073032.1,1013438.95
18215,Europe,Serbia,Cosmetics,Online,C,07-04-2015,222927463,13-04-2015,8045,437.2,263.33,3517274.0,2118489.85,1398784.15
30927,Europe,Serbia,Cosmetics,Online,C,07-04-2015,222927463,13-04-2015,8045,437.2,263.33,3517274.0,2118489.85,1398784.15
36521,Europe,Serbia,Cereal,Online,C,07-04-2015,310302245,05-05-2015,4185,205.7,117.11,860854.5,490105.35,370749.15
36877,Europe,Serbia,Clothes,Offline,M,07-04-2015,179240071,23-05-2015,9975,109.28,35.84,1090068.0,357504.0,732564.0
3482,Europe,Slovakia,Fruits,Online,L,07-04-2015,838172137,08-04-2015,2616,9.33,6.92,24407.28,18102.72,6304.56
5257,Europe,Slovakia,Clothes,Online,H,07-04-2015,794484746,18-05-2015,4546,109.28,35.84,496786.88,162928.64,333858.24
15831,Europe,Slovakia,Fruits,Online,L,07-04-2015,838172137,08-04-2015,2616,9.33,6.92,24407.28,18102.72,6304.56
17606,Europe,Slovakia,Clothes,Online,H,07-04-2015,794484746,18-05-2015,4546,109.28,35.84,496786.88,162928.64,333858.24
30339,Europe,Slovakia,Fruits,Online,L,07-04-2015,838172137,08-04-2015,2616,9.33,6.92,24407.28,18102.72,6304.56
8276,Europe,Slovenia,Household,Online,H,07-04-2015,881859529,19-04-2015,686,668.27,502.54,458433.22,344742.44,113690.78
8754,Europe,Slovenia,Cereal,Offline,L,07-04-2015,925546920,29-04-2015,8756,205.7,117.11,1801109.2,1025415.16,775694.04
20964,Europe,Slovenia,Household,Online,H,07-04-2015,881859529,19-04-2015,686,668.27,502.54,458433.22,344742.44,113690.78
21442,Europe,Slovenia,Cereal,Offline,L,07-04-2015,925546920,29-04-2015,8756,205.7,117.11,1801109.2,1025415.16,775694.04
33676,Europe,Slovenia,Household,Online,H,07-04-2015,881859529,19-04-2015,686,668.27,502.54,458433.22,344742.44,113690.78
34154,Europe,Slovenia,Cereal,Offline,L,07-04-2015,925546920,29-04-2015,8756,205.7,117.11,1801109.2,1025415.16,775694.04
963,Europe,Spain,Household,Online,C,07-04-2015,597104203,13-04-2015,5258,668.27,502.54,3513763.66,2642355.32,871408.34
6275,Europe,Spain,Snacks,Online,C,07-04-2015,509729421,13-05-2015,9118,152.58,97.44,1391224.44,888457.92,502766.52
15226,Europe,Spain,Fruits,Online,M,07-04-2015,553416812,24-05-2015,7188,9.33,6.92,67064.04,49740.96,17323.08
18624,Europe,Spain,Snacks,Online,C,07-04-2015,509729421,13-05-2015,9118,152.58,97.44,1391224.44,888457.92,502766.52
26315,Europe,Spain,Fruits,Online,M,07-04-2015,553416812,24-05-2015,7188,9.33,6.92,67064.04,49740.96,17323.08
27820,Europe,Spain,Household,Online,C,07-04-2015,597104203,13-04-2015,5258,668.27,502.54,3513763.66,2642355.32,871408.34
31336,Europe,Spain,Snacks,Online,C,07-04-2015,509729421,13-05-2015,9118,152.58,97.44,1391224.44,888457.92,502766.52
1858,Europe,Sweden,Fruits,Online,H,07-04-2015,268661487,19-05-2015,1759,9.33,6.92,16411.47,12172.28,4239.19
6708,Europe,Sweden,Snacks,Online,L,07-04-2015,224974095,08-05-2015,3689,152.58,97.44,562867.62,359456.16,203411.46
6737,Europe,Sweden,Clothes,Offline,L,07-04-2015,312348878,08-04-2015,9829,109.28,35.84,1074113.12,352271.36,721841.76
19057,Europe,Sweden,Snacks,Online,L,07-04-2015,224974095,08-05-2015,3689,152.58,97.44,562867.62,359456.16,203411.46
19086,Europe,Sweden,Clothes,Offline,L,07-04-2015,312348878,08-04-2015,9829,109.28,35.84,1074113.12,352271.36,721841.76
28715,Europe,Sweden,Fruits,Online,H,07-04-2015,268661487,19-05-2015,1759,9.33,6.92,16411.47,12172.28,4239.19
31769,Europe,Sweden,Snacks,Online,L,07-04-2015,224974095,08-05-2015,3689,152.58,97.44,562867.62,359456.16,203411.46
31798,Europe,Sweden,Clothes,Offline,L,07-04-2015,312348878,08-04-2015,9829,109.28,35.84,1074113.12,352271.36,721841.76
2718,Europe,Switzerland,Fruits,Offline,C,07-04-2015,883906161,13-05-2015,6330,9.33,6.92,59058.9,43803.6,15255.3
14289,Europe,Switzerland,Snacks,Online,M,07-04-2015,840218770,03-05-2015,8260,152.58,97.44,1260310.8,804854.4,455456.4
25378,Europe,Switzerland,Snacks,Online,M,07-04-2015,840218770,03-05-2015,8260,152.58,97.44,1260310.8,804854.4,455456.4
29575,Europe,Switzerland,Fruits,Offline,C,07-04-2015,883906161,13-05-2015,6330,9.33,6.92,59058.9,43803.6,15255.3
1892,Europe,Ukraine,Clothes,Offline,M,07-04-2015,927593553,24-05-2015,4400,109.28,35.84,480832.0,157696.0,323136.0
28749,Europe,Ukraine,Clothes,Offline,M,07-04-2015,927593553,24-05-2015,4400,109.28,35.84,480832.0,157696.0,323136.0
5717,Europe,United Kingdom,Snacks,Online,C,07-04-2015,555463445,28-04-2015,2832,152.58,97.44,432106.56,275950.08,156156.48
9669,Europe,United Kingdom,Vegetables,Offline,M,07-04-2015,599150836,08-05-2015,902,154.06,90.93,138962.12,82018.86,56943.26
10268,Europe,United Kingdom,Clothes,Offline,C,07-04-2015,642838227,19-05-2015,8972,109.28,35.84,980460.16,321556.48,658903.68
18066,Europe,United Kingdom,Snacks,Online,C,07-04-2015,555463445,28-04-2015,2832,152.58,97.44,432106.56,275950.08,156156.48
22357,Europe,United Kingdom,Vegetables,Offline,M,07-04-2015,599150836,08-05-2015,902,154.06,90.93,138962.12,82018.86,56943.26
22956,Europe,United Kingdom,Clothes,Offline,C,07-04-2015,642838227,19-05-2015,8972,109.28,35.84,980460.16,321556.48,658903.68
30778,Europe,United Kingdom,Snacks,Online,C,07-04-2015,555463445,28-04-2015,2832,152.58,97.44,432106.56,275950.08,156156.48
35069,Europe,United Kingdom,Vegetables,Offline,M,07-04-2015,599150836,08-05-2015,902,154.06,90.93,138962.12,82018.86,56943.26
35668,Europe,United Kingdom,Clothes,Offline,C,07-04-2015,642838227,19-05-2015,8972,109.28,35.84,980460.16,321556.48,658903.68
4400,Europe,Vatican City,Beverages,Offline,L,07-04-2015,270708119,22-04-2015,7403,47.45,31.79,351272.35,235341.37,115930.98
7101,Europe,Vatican City,Office Supplies,Online,H,07-04-2015,227020728,12-04-2015,9333,651.21,524.96,6077742.93,4899451.68,1178291.25
8272,Europe,Vatican City,Clothes,Offline,L,07-04-2015,358082902,14-05-2015,3543,109.28,35.84,387179.04,126981.12,260197.92
16749,Europe,Vatican City,Beverages,Offline,L,07-04-2015,270708119,22-04-2015,7403,47.45,31.79,351272.35,235341.37,115930.98
19450,Europe,Vatican City,Office Supplies,Online,H,07-04-2015,227020728,12-04-2015,9333,651.21,524.96,6077742.93,4899451.68,1178291.25
20960,Europe,Vatican City,Clothes,Offline,L,07-04-2015,358082902,14-05-2015,3543,109.28,35.84,387179.04,126981.12,260197.92
26478,Europe,Vatican City,Vegetables,Offline,H,07-04-2015,314395511,03-05-2015,5473,154.06,90.93,843170.38,497659.89,345510.49
32162,Europe,Vatican City,Office Supplies,Online,H,07-04-2015,227020728,12-04-2015,9333,651.21,524.96,6077742.93,4899451.68,1178291.25
33672,Europe,Vatican City,Clothes,Offline,L,07-04-2015,358082902,14-05-2015,3543,109.28,35.84,387179.04,126981.12,260197.92
1282,Europe,Albania,Office Supplies,Offline,C,08-04-2015,665587222,17-04-2015,905,651.21,524.96,589345.05,475088.8,114256.25
5867,Europe,Albania,Cereal,Online,H,08-04-2015,249769723,30-04-2015,1266,205.7,117.11,260416.2,148261.26,112154.94
18216,Europe,Albania,Cereal,Online,H,08-04-2015,249769723,30-04-2015,1266,205.7,117.11,260416.2,148261.26,112154.94
28139,Europe,Albania,Office Supplies,Offline,C,08-04-2015,665587222,17-04-2015,905,651.21,524.96,589345.05,475088.8,114256.25
30928,Europe,Albania,Cereal,Online,H,08-04-2015,249769723,30-04-2015,1266,205.7,117.11,260416.2,148261.26,112154.94
9082,Europe,Andorra,Personal Care,Online,L,08-04-2015,293457114,11-05-2015,9336,81.73,56.67,763031.28,529071.12,233960.16
10665,Europe,Andorra,Baby Food,Online,H,08-04-2015,337144505,22-05-2015,7406,255.28,159.42,1890603.68,1180664.52,709939.16
21770,Europe,Andorra,Personal Care,Online,L,08-04-2015,293457114,11-05-2015,9336,81.73,56.67,763031.28,529071.12,233960.16
34482,Europe,Andorra,Personal Care,Online,L,08-04-2015,293457114,11-05-2015,9336,81.73,56.67,763031.28,529071.12,233960.16
36065,Europe,Andorra,Baby Food,Online,H,08-04-2015,337144505,22-05-2015,7406,255.28,159.42,1890603.68,1180664.52,709939.16
2424,Europe,Armenia,Cosmetics,Online,C,08-04-2015,865014398,25-04-2015,5838,437.2,263.33,2552373.6,1537320.54,1015053.06
5218,Europe,Armenia,Baby Food,Offline,C,08-04-2015,952389180,17-05-2015,1977,255.28,159.42,504688.56,315173.34,189515.22
7741,Europe,Armenia,Personal Care,Online,M,08-04-2015,908701789,06-05-2015,3908,81.73,56.67,319400.84,221466.36,97934.48
17567,Europe,Armenia,Baby Food,Offline,C,08-04-2015,952389180,17-05-2015,1977,255.28,159.42,504688.56,315173.34,189515.22
20429,Europe,Armenia,Personal Care,Online,M,08-04-2015,908701789,06-05-2015,3908,81.73,56.67,319400.84,221466.36,97934.48
29281,Europe,Armenia,Cosmetics,Online,C,08-04-2015,865014398,25-04-2015,5838,437.2,263.33,2552373.6,1537320.54,1015053.06
33141,Europe,Armenia,Personal Care,Online,M,08-04-2015,908701789,06-05-2015,3908,81.73,56.67,319400.84,221466.36,97934.48
276,Europe,Austria,Cosmetics,Online,L,08-04-2015,580259072,20-04-2015,409,437.2,263.33,178814.8,107701.97,71112.83
14767,Europe,Austria,Cereal,Offline,L,08-04-2015,667633855,11-05-2015,6549,205.7,117.11,1347129.3,766953.39,580175.91
14924,Europe,Austria,Personal Care,Online,H,08-04-2015,623946464,01-05-2015,8479,81.73,56.67,692988.67,480504.93,212483.74
25856,Europe,Austria,Cereal,Offline,L,08-04-2015,667633855,11-05-2015,6549,205.7,117.11,1347129.3,766953.39,580175.91
26013,Europe,Austria,Personal Care,Online,H,08-04-2015,623946464,01-05-2015,8479,81.73,56.67,692988.67,480504.93,212483.74
27133,Europe,Austria,Cosmetics,Online,L,08-04-2015,580259072,20-04-2015,409,437.2,263.33,178814.8,107701.97,71112.83
3705,Europe,Belarus,Clothes,Online,C,08-04-2015,251816356,25-05-2015,6910,109.28,35.84,755124.8,247654.4,507470.4
7586,Europe,Belarus,Cosmetics,Online,M,08-04-2015,295503747,15-04-2015,4980,437.2,263.33,2177256.0,1311383.4,865872.6
16054,Europe,Belarus,Clothes,Online,C,08-04-2015,251816356,25-05-2015,6910,109.28,35.84,755124.8,247654.4,507470.4
19935,Europe,Belarus,Cosmetics,Online,M,08-04-2015,295503747,15-04-2015,4980,437.2,263.33,2177256.0,1311383.4,865872.6
30562,Europe,Belarus,Clothes,Online,C,08-04-2015,251816356,25-05-2015,6910,109.28,35.84,755124.8,247654.4,507470.4
32647,Europe,Belarus,Cosmetics,Online,M,08-04-2015,295503747,15-04-2015,4980,437.2,263.33,2177256.0,1311383.4,865872.6
195,Europe,Belgium,Cereal,Offline,H,08-04-2015,382878530,06-05-2015,1120,205.7,117.11,230384.0,131163.2,99220.8
6752,Europe,Belgium,Household,Offline,L,08-04-2015,339191138,26-04-2015,3050,668.27,502.54,2038223.5,1532747.0,505476.5
19101,Europe,Belgium,Household,Offline,L,08-04-2015,339191138,26-04-2015,3050,668.27,502.54,2038223.5,1532747.0,505476.5
27052,Europe,Belgium,Cereal,Offline,H,08-04-2015,382878530,06-05-2015,1120,205.7,117.11,230384.0,131163.2,99220.8
31813,Europe,Belgium,Household,Offline,L,08-04-2015,339191138,26-04-2015,3050,668.27,502.54,2038223.5,1532747.0,505476.5
293,Europe,Bosnia and Herzegovina,Fruits,Online,C,08-04-2015,910748422,10-04-2015,9552,9.33,6.92,89120.16,66099.84,23020.32
804,Europe,Bosnia and Herzegovina,Cereal,Offline,C,08-04-2015,998123204,01-05-2015,5691,205.7,117.11,1170638.7,666473.01,504165.69
6717,Europe,Bosnia and Herzegovina,Household,Offline,M,08-04-2015,954435813,20-04-2015,7622,668.27,502.54,5093553.94,3830359.88,1263194.06
10310,Europe,Bosnia and Herzegovina,Clothes,Online,M,08-04-2015,867061030,20-05-2015,1482,109.28,35.84,161952.96,53114.88,108838.08
19066,Europe,Bosnia and Herzegovina,Household,Offline,M,08-04-2015,954435813,20-04-2015,7622,668.27,502.54,5093553.94,3830359.88,1263194.06
22998,Europe,Bosnia and Herzegovina,Clothes,Online,M,08-04-2015,867061030,20-05-2015,1482,109.28,35.84,161952.96,53114.88,108838.08
27150,Europe,Bosnia and Herzegovina,Fruits,Online,C,08-04-2015,910748422,10-04-2015,9552,9.33,6.92,89120.16,66099.84,23020.32
27661,Europe,Bosnia and Herzegovina,Cereal,Offline,C,08-04-2015,998123204,01-05-2015,5691,205.7,117.11,1170638.7,666473.01,504165.69
31778,Europe,Bosnia and Herzegovina,Household,Offline,M,08-04-2015,954435813,20-04-2015,7622,668.27,502.54,5093553.94,3830359.88,1263194.06
35710,Europe,Bosnia and Herzegovina,Clothes,Online,M,08-04-2015,867061030,20-05-2015,1482,109.28,35.84,161952.96,53114.88,108838.08
2463,Europe,Bulgaria,Fruits,Offline,L,08-04-2015,625993096,25-05-2015,4123,9.33,6.92,38467.59,28531.16,9936.43
3834,Europe,Bulgaria,Snacks,Online,H,08-04-2015,582305705,15-05-2015,6053,152.58,97.44,923566.74,589804.32,333762.42
7136,Europe,Bulgaria,Household,Offline,H,08-04-2015,669680488,15-04-2015,2193,668.27,502.54,1465516.11,1102070.22,363445.89
8506,Europe,Bulgaria,Cosmetics,Offline,L,08-04-2015,713367879,26-04-2015,263,437.2,263.33,114983.6,69255.79,45727.81
16183,Europe,Bulgaria,Snacks,Online,H,08-04-2015,582305705,15-05-2015,6053,152.58,97.44,923566.74,589804.32,333762.42
19485,Europe,Bulgaria,Household,Offline,H,08-04-2015,669680488,15-04-2015,2193,668.27,502.54,1465516.11,1102070.22,363445.89
21194,Europe,Bulgaria,Cosmetics,Offline,L,08-04-2015,713367879,26-04-2015,263,437.2,263.33,114983.6,69255.79,45727.81
29320,Europe,Bulgaria,Fruits,Offline,L,08-04-2015,625993096,25-05-2015,4123,9.33,6.92,38467.59,28531.16,9936.43
32197,Europe,Bulgaria,Household,Offline,H,08-04-2015,669680488,15-04-2015,2193,668.27,502.54,1465516.11,1102070.22,363445.89
33906,Europe,Bulgaria,Cosmetics,Offline,L,08-04-2015,713367879,26-04-2015,263,437.2,263.33,114983.6,69255.79,45727.81
5956,Europe,Croatia,Fruits,Offline,M,08-04-2015,341237771,20-05-2015,8694,9.33,6.92,81115.02,60162.48,20952.54
7556,Europe,Croatia,Snacks,Online,C,08-04-2015,297550380,10-05-2015,624,152.58,97.44,95209.92,60802.56,34407.36
18305,Europe,Croatia,Fruits,Offline,M,08-04-2015,341237771,20-05-2015,8694,9.33,6.92,81115.02,60162.48,20952.54
19905,Europe,Croatia,Snacks,Online,C,08-04-2015,297550380,10-05-2015,624,152.58,97.44,95209.92,60802.56,34407.36
26751,Europe,Croatia,Clothes,Offline,C,08-04-2015,384925162,10-04-2015,6764,109.28,35.84,739169.92,242421.76,496748.16
31017,Europe,Croatia,Fruits,Offline,M,08-04-2015,341237771,20-05-2015,8694,9.33,6.92,81115.02,60162.48,20952.54
32617,Europe,Croatia,Snacks,Online,C,08-04-2015,297550380,10-05-2015,624,152.58,97.44,95209.92,60802.56,34407.36
235,Europe,Cyprus,Cosmetics,Offline,M,08-04-2015,428612554,21-04-2015,4834,437.2,263.33,2113424.8,1272937.22,840487.58
27092,Europe,Cyprus,Cosmetics,Offline,M,08-04-2015,428612554,21-04-2015,4834,437.2,263.33,2113424.8,1272937.22,840487.58
3008,Europe,Czech Republic,Vegetables,Offline,H,08-04-2015,956482446,15-05-2015,3266,154.06,90.93,503159.96,296977.38,206182.58
8865,Europe,Czech Republic,Clothes,Offline,L,08-04-2015,100169837,26-05-2015,1336,109.28,35.84,145998.08,47882.24,98115.84
13378,Europe,Czech Republic,Snacks,Offline,L,08-04-2015,912795054,04-05-2015,5196,152.58,97.44,792805.68,506298.24,286507.44
14847,Europe,Czech Republic,Cosmetics,Online,H,08-04-2015,143857228,15-04-2015,9406,437.2,263.33,4112303.2,2476881.98,1635421.22
15357,Europe,Czech Republic,Vegetables,Offline,H,08-04-2015,956482446,15-05-2015,3266,154.06,90.93,503159.96,296977.38,206182.58
21553,Europe,Czech Republic,Clothes,Offline,L,08-04-2015,100169837,26-05-2015,1336,109.28,35.84,145998.08,47882.24,98115.84
24467,Europe,Czech Republic,Snacks,Offline,L,08-04-2015,912795054,04-05-2015,5196,152.58,97.44,792805.68,506298.24,286507.44
25936,Europe,Czech Republic,Cosmetics,Online,H,08-04-2015,143857228,15-04-2015,9406,437.2,263.33,4112303.2,2476881.98,1635421.22
29865,Europe,Czech Republic,Vegetables,Offline,H,08-04-2015,956482446,15-05-2015,3266,154.06,90.93,503159.96,296977.38,206182.58
34265,Europe,Czech Republic,Clothes,Offline,L,08-04-2015,100169837,26-05-2015,1336,109.28,35.84,145998.08,47882.24,98115.84
1392,Europe,Denmark,Vegetables,Offline,C,08-04-2015,671727120,10-05-2015,7837,154.06,90.93,1207368.22,712618.41,494749.81
10529,Europe,Denmark,Clothes,Offline,M,08-04-2015,715414512,21-05-2015,5907,109.28,35.84,645516.96,211706.88,433810.08
13087,Europe,Denmark,Fruits,Online,C,08-04-2015,759101903,10-04-2015,3977,9.33,6.92,37105.41,27520.84,9584.57
13950,Europe,Denmark,Snacks,Offline,M,08-04-2015,628039729,29-04-2015,9767,152.58,97.44,1490248.86,951696.48,538552.38
24176,Europe,Denmark,Fruits,Online,C,08-04-2015,759101903,10-04-2015,3977,9.33,6.92,37105.41,27520.84,9584.57
25039,Europe,Denmark,Snacks,Offline,M,08-04-2015,628039729,29-04-2015,9767,152.58,97.44,1490248.86,951696.48,538552.38
28249,Europe,Denmark,Vegetables,Offline,C,08-04-2015,671727120,10-05-2015,7837,154.06,90.93,1207368.22,712618.41,494749.81
35929,Europe,Denmark,Clothes,Offline,M,08-04-2015,715414512,21-05-2015,5907,109.28,35.84,645516.96,211706.88,433810.08
1178,Europe,Estonia,Beverages,Offline,C,08-04-2015,343284404,24-04-2015,4338,47.45,31.79,205838.1,137905.02,67933.08
8955,Europe,Estonia,Vegetables,Offline,M,08-04-2015,386971795,05-05-2015,2408,154.06,90.93,370976.48,218959.44,152017.04
12588,Europe,Estonia,Clothes,Online,C,08-04-2015,430659186,15-05-2015,478,109.28,35.84,52235.84,17131.52,35104.32
21643,Europe,Estonia,Vegetables,Offline,M,08-04-2015,386971795,05-05-2015,2408,154.06,90.93,370976.48,218959.44,152017.04
23677,Europe,Estonia,Clothes,Online,C,08-04-2015,430659186,15-05-2015,478,109.28,35.84,52235.84,17131.52,35104.32
28035,Europe,Estonia,Beverages,Offline,C,08-04-2015,343284404,24-04-2015,4338,47.45,31.79,205838.1,137905.02,67933.08
34355,Europe,Estonia,Vegetables,Offline,M,08-04-2015,386971795,05-05-2015,2408,154.06,90.93,370976.48,218959.44,152017.04
37988,Europe,Estonia,Clothes,Online,C,08-04-2015,430659186,15-05-2015,478,109.28,35.84,52235.84,17131.52,35104.32
3103,Europe,Finland,Fruits,Online,M,08-04-2015,474346578,26-05-2015,8548,9.33,6.92,79752.84,59152.16,20600.68
14306,Europe,Finland,Beverages,Offline,L,08-04-2015,958529078,19-04-2015,8910,47.45,31.79,422779.5,283248.9,139530.6
15452,Europe,Finland,Fruits,Online,M,08-04-2015,474346578,26-05-2015,8548,9.33,6.92,79752.84,59152.16,20600.68
25395,Europe,Finland,Beverages,Offline,L,08-04-2015,958529078,19-04-2015,8910,47.45,31.79,422779.5,283248.9,139530.6
29960,Europe,Finland,Fruits,Online,M,08-04-2015,474346578,26-05-2015,8548,9.33,6.92,79752.84,59152.16,20600.68
2515,Europe,France,Vegetables,Offline,H,08-04-2015,102216470,30-04-2015,6980,154.06,90.93,1075338.8,634691.4,440647.4
7411,Europe,France,Snacks,Online,L,08-04-2015,145903861,10-05-2015,5050,152.58,97.44,770529.0,492072.0,278457.0
7906,Europe,France,Fruits,Online,H,08-04-2015,189591252,21-05-2015,3120,9.33,6.92,29109.6,21590.4,7519.2
19760,Europe,France,Snacks,Online,L,08-04-2015,145903861,10-05-2015,5050,152.58,97.44,770529.0,492072.0,278457.0
20594,Europe,France,Fruits,Online,H,08-04-2015,189591252,21-05-2015,3120,9.33,6.92,29109.6,21590.4,7519.2
29372,Europe,France,Vegetables,Offline,H,08-04-2015,102216470,30-04-2015,6980,154.06,90.93,1075338.8,634691.4,440647.4
